size , BST_random_insert , Bst_ordered_insert , Bst_nearlyordered_insert , Avl_random_insert , Avl_ordered_insert, Avl_nearlyordered_insert 
10,  3480,    6733,     3460,   11700,    18560,    13753,   
20,  1706,    2366,     1873,   9193,    17646,    9986,   
30,  1733,    2780,     1813,   9273,    26580,    11140,   
40,  1833,    3080,     1793,   11180,    36606,    11160,   
50,  1733,    3246,     1686,   10386,    38506,    11646,   
60,  1733,    3553,     1720,   11360,    41873,    13380,   
70,  1726,    5060,     1800,   13813,    47106,    13726,   
80,  1766,    4413,     3286,   14126,    51426,    15860,   
90,  2080,    4820,     3286,   13573,    60853,    14553,   
100,  1960,    5200,     1773,   12846,    66700,    15133,   
500,  1960,    24413,     2006,   25113,    365340,    23113,   
900,  2120,    45980,     2180,   21900,    660053,    29600,   
1300,  2586,    55220,     3213,   27220,    955700,    30313,   
1700,  4486,    76320,     2920,   36606,    1329873,    36813,   
2100,  3773,    90400,     5226,   34960,    1579400,    38880,   
2500,  3400,    112640,     4693,   42160,    1887726,    38113,   
2900,  3686,    147880,     2940,   39733,    2211680,    38453,   
3300,  3640,    153953,     5880,   38933,    2697146,    38560,   
3700,  5160,    166526,     3986,   44246,    2989606,    36753,   
4100,  4906,    203733,     4646,   54833,    3836886,    46020,   
