size , BST_random_search_included, BST_ordered_search_included ,BST_nearlyordered_included, Avl_random_search_included, Avl_ordered_search_included ,Avl_nearlyordered_included, BST_random_search_excluded, BST_ordered_search_excluded ,BST_nearlyordered_excluded,  Avl_random_search_excluded, Avl_ordered_search_excluded ,Avl_nearlyordered_excluded ,
10,640,1446,633,653,880,633,740,1333,713,693,906,693,  
20,353,1400,406,380,720,393,426,1206,433,373,713,380,  
30,446,3000,500,373,1046,473,426,1733,500,380,920,446,  
40,506,3826,733,400,1573,413,466,2160,533,420,1240,433,  
50,446,4526,493,360,1573,453,420,2613,420,360,1326,473,  
60,586,4673,653,386,2033,440,466,2953,580,393,1573,446,  
70,433,6573,580,366,5360,440,486,3473,453,400,1766,466,  
80,573,7066,740,413,2706,486,566,6613,586,420,2146,1713,  
90,673,9433,946,360,3720,440,593,5773,526,386,2320,433,  
100,660,8793,1093,420,4260,506,600,6193,606,460,2580,486,  
500,1140,54666,2100,480,22240,640,906,29986,913,580,15920,586,  
900,1160,104433,1893,500,44706,786,780,57393,1040,600,25740,713,  
1300,1373,148086,2646,493,72200,806,1220,88326,1366,673,41000,706,  
1700,1846,212373,2140,706,97280,933,1413,145833,1386,826,68580,800,  
2100,1746,249506,2253,560,111766,1186,1206,180833,1400,706,80813,840,  
2500,1853,292473,2700,646,128226,1106,2360,219800,2700,813,102393,773,  
2900,1833,334386,2213,626,153726,1053,1293,264900,1386,853,123253,786,  
3300,2280,476446,4333,580,187920,1093,1833,367660,2213,893,174686,2173,  
3700,1833,482980,2733,626,198806,1193,1266,343773,1406,860,166973,826,  
4100,1880,490493,2453,680,226500,1346,1700,403986,1620,940,189833,1033,  
